order_id,booking_time,customer_id,customer_name,customer_email,event_id,event_name,event_location,seat_number,seat_price,event_category,booking_day_of_week,booking_hour,payment_id,payment_time,amount,payment_method,payment_type,booking_event_time,payment_event_time
2198,2024-10-11T09:39:30.0000000,cust2198,Donald Reyes,jeffreyhardy@example.org,94,Movie,"Unit 8300 Box 8366
DPO AP 05210",B3,94,Cinema,Friday,9,payment_3198,2024-10-11T09:39:50.0000000,153,Credit Card,Card,2024-10-11T04:09:30.5660000,2024-10-11T04:09:50.2650000
2178,2024-10-11T09:37:49.0000000,cust2178,Brian Taylor,mcampbell@example.net,48,Movie,"4135 Raymond Plaza
West Robert, VA 08699",A5,80,Cinema,Friday,9,payment_3178,2024-10-11T09:38:09.0000000,156,Debit Card,Card,2024-10-11T04:07:49.6060000,2024-10-11T04:08:09.3380000
2179,2024-10-11T09:37:54.0000000,cust2179,Tammy Salazar,swebb@example.org,88,Movie,"35024 Dorothy Trace
South Davidburgh, AS 81997",C6,55,Cinema,Friday,9,payment_3179,2024-10-11T09:38:14.0000000,140,Credit Card,Card,2024-10-11T04:07:54.6540000,2024-10-11T04:08:14.3850000
2201,2024-10-11T09:39:45.0000000,cust2201,Michael Mcbride,romeroaustin@example.net,55,Movie,"6970 Novak Mountain Apt. 680
Michaelville, NY 94530",C1,69,Cinema,Friday,9,payment_3201,2024-10-11T09:40:05.0000000,171,Debit Card,Card,2024-10-11T04:09:45.7260000,2024-10-11T04:10:05.4080000
2199,2024-10-11T09:39:35.0000000,cust2199,Christine Gamble,brian07@example.com,29,Concert,"174 Manuel Estate Apt. 243
Riversport, NY 78835",A2,66,Music,Friday,9,payment_3199,2024-10-11T09:39:55.0000000,184,Debit Card,Card,2024-10-11T04:09:35.5990000,2024-10-11T04:09:55.3340000
2177,2024-10-11T09:37:44.0000000,cust2177,Stephanie Roberts,hopkinsgina@example.com,29,Movie,"43022 Bean Shoal Apt. 050
Anneshire, RI 46027",B8,82,Cinema,Friday,9,payment_3177,2024-10-11T09:38:04.0000000,183,PayPal,Online,2024-10-11T04:07:44.5270000,2024-10-11T04:08:04.3090000
2202,2024-10-11T09:39:50.0000000,cust2202,Samantha Morris,ginamiller@example.net,86,Play,"Unit 1057 Box 1756
DPO AA 22095",A3,55,Theater,Friday,9,payment_3202,2024-10-11T09:40:10.0000000,172,Credit Card,Card,2024-10-11T04:09:50.7400000,2024-10-11T04:10:10.4600000
2197,2024-10-11T09:39:25.0000000,cust2197,Samuel Ortega,kayla49@example.org,41,Play,"7591 Albert Tunnel
Meganside, SD 11706",C9,50,Theater,Friday,9,payment_3197,2024-10-11T09:39:44.0000000,194,Debit Card,Card,2024-10-11T04:09:25.5190000,2024-10-11T04:09:45.2180000
2199,2024-10-11T09:39:35.0000000,cust2199,Christine Gamble,brian07@example.com,29,Concert,"174 Manuel Estate Apt. 243
Riversport, NY 78835",A5,95,Music,Friday,9,payment_3199,2024-10-11T09:39:55.0000000,184,Debit Card,Card,2024-10-11T04:09:35.5990000,2024-10-11T04:09:55.3340000
2180,2024-10-11T09:37:59.0000000,cust2180,Alvin Perry,jhenderson@example.org,97,Movie,"45553 Byrd Ridge Suite 195
East Hayleyburgh, AS 53359",C1,76,Cinema,Friday,9,payment_3180,2024-10-11T09:38:19.0000000,103,Credit Card,Card,2024-10-11T04:07:59.6680000,2024-10-11T04:08:19.4500000
2179,2024-10-11T09:37:54.0000000,cust2179,Tammy Salazar,swebb@example.org,88,Movie,"35024 Dorothy Trace
South Davidburgh, AS 81997",A3,74,Cinema,Friday,9,payment_3179,2024-10-11T09:38:14.0000000,140,Credit Card,Card,2024-10-11T04:07:54.6540000,2024-10-11T04:08:14.3850000
2200,2024-10-11T09:39:40.0000000,cust2200,John Diaz,lmays@example.com,6,Movie,"9813 Jenny Isle
North Curtis, FM 19905",C2,84,Cinema,Friday,9,payment_3200,2024-10-11T09:40:00.0000000,107,PayPal,Online,2024-10-11T04:09:40.6610000,2024-10-11T04:10:00.3610000
2177,2024-10-11T09:37:44.0000000,cust2177,Stephanie Roberts,hopkinsgina@example.com,29,Movie,"43022 Bean Shoal Apt. 050
Anneshire, RI 46027",C9,81,Cinema,Friday,9,payment_3177,2024-10-11T09:38:04.0000000,183,PayPal,Online,2024-10-11T04:07:44.5270000,2024-10-11T04:08:04.3090000
2202,2024-10-11T09:39:50.0000000,cust2202,Samantha Morris,ginamiller@example.net,86,Play,"Unit 1057 Box 1756
DPO AA 22095",B10,57,Theater,Friday,9,payment_3202,2024-10-11T09:40:10.0000000,172,Credit Card,Card,2024-10-11T04:09:50.7400000,2024-10-11T04:10:10.4600000
2198,2024-10-11T09:39:30.0000000,cust2198,Donald Reyes,jeffreyhardy@example.org,94,Movie,"Unit 8300 Box 8366
DPO AP 05210",A3,76,Cinema,Friday,9,payment_3198,2024-10-11T09:39:50.0000000,153,Credit Card,Card,2024-10-11T04:09:30.5660000,2024-10-11T04:09:50.2650000
2178,2024-10-11T09:37:49.0000000,cust2178,Brian Taylor,mcampbell@example.net,48,Movie,"4135 Raymond Plaza
West Robert, VA 08699",C2,73,Cinema,Friday,9,payment_3178,2024-10-11T09:38:09.0000000,156,Debit Card,Card,2024-10-11T04:07:49.6060000,2024-10-11T04:08:09.3380000
2196,2024-10-11T09:39:20.0000000,cust2196,Jacob Bennett,thompsonchristopher@example.net,6,Concert,"550 Tami Haven Apt. 103
South Donaldfurt, MI 56403",A3,70,Music,Friday,9,payment_3196,2024-10-11T09:39:39.0000000,116,Credit Card,Card,2024-10-11T04:09:20.4420000,2024-10-11T04:09:40.1750000
2203,2024-10-11T09:39:55.0000000,cust2203,Jaclyn Fernandez,espinozasylvia@example.net,45,Play,"650 Ashley Shores Suite 085
New Nicholasland, CT 75906",B8,67,Theater,Friday,9,payment_3203,2024-10-11T09:40:15.0000000,190,Credit Card,Card,2024-10-11T04:09:55.8200000,2024-10-11T04:10:15.4860000
2203,2024-10-11T09:39:55.0000000,cust2203,Jaclyn Fernandez,espinozasylvia@example.net,45,Play,"650 Ashley Shores Suite 085
New Nicholasland, CT 75906",C5,58,Theater,Friday,9,payment_3203,2024-10-11T09:40:15.0000000,190,Credit Card,Card,2024-10-11T04:09:55.8200000,2024-10-11T04:10:15.4860000
2200,2024-10-11T09:39:40.0000000,cust2200,John Diaz,lmays@example.com,6,Movie,"9813 Jenny Isle
North Curtis, FM 19905",C9,83,Cinema,Friday,9,payment_3200,2024-10-11T09:40:00.0000000,107,PayPal,Online,2024-10-11T04:09:40.6610000,2024-10-11T04:10:00.3610000
2182,2024-10-11T09:38:09.0000000,cust2182,Larry Kim,wlarsen@example.com,97,Concert,"2967 Vincent Village Apt. 344
Michaelshire, WV 39852",C8,100,Music,Friday,9,payment_3182,2024-10-11T09:38:29.0000000,124,Debit Card,Card,2024-10-11T04:08:09.7470000,2024-10-11T04:08:29.5290000
2183,2024-10-11T09:38:14.0000000,cust2183,Megan Lee,hugheschloe@example.org,82,Concert,"PSC 6865, Box 7477
APO AP 19790",A1,62,Music,Friday,9,payment_3183,2024-10-11T09:38:34.0000000,196,Debit Card,Card,2024-10-11T04:08:14.8280000,2024-10-11T04:08:34.5580000
2181,2024-10-11T09:38:04.0000000,cust2181,Darrell Sanford,jpatel@example.org,46,Concert,"87792 Dylan Springs Apt. 881
Lake Jacqueline, MT 35613",C9,88,Music,Friday,9,payment_3181,2024-10-11T09:38:24.0000000,129,Credit Card,Card,2024-10-11T04:08:04.7330000,2024-10-11T04:08:24.4790000
2183,2024-10-11T09:38:14.0000000,cust2183,Megan Lee,hugheschloe@example.org,82,Concert,"PSC 6865, Box 7477
APO AP 19790",B10,68,Music,Friday,9,payment_3183,2024-10-11T09:38:34.0000000,196,Debit Card,Card,2024-10-11T04:08:14.8280000,2024-10-11T04:08:34.5580000
